Pathway(ConsensusPathDB)	Pathway(KEGG)_full	Function_description	MIM_phenotype_id	Trait_association(GWAS)	GO_biological_process	GO_cellular_component	GO_molecular_function	Ensembl_geneid
Lysosome - Homo sapiens (human);Glycosaminoglycan degradation - Homo sapiens (human);Metabolism of carbohydrates;HS-GAG degradation;Heparan sulfate/heparin (HS-GAG) metabolism;Glycosaminoglycan metabolism;Metabolism	Glycosaminoglycan degradation;Glycan structures - degradation	FUNCTION: Involved in the degradation of heparan sulfate.; 	252920;616491;	Inflammatory bowel disease[28067908];Systolic blood pressure change trajectories[27980656];Crohn's disease[28067908];Ulcerative colitis[28067908];	glycosaminoglycan catabolic process;lysosome organization;nervous system development;cerebellar Purkinje cell layer development;middle ear morphogenesis;locomotor rhythm;retinal rod cell development;inner ear receptor cell development	lysosome;lysosomal lumen;extracellular exosome	alpha-N-acetylglucosaminidase activity	
Pantothenate and CoA biosynthesis - Homo sapiens (human);Pantothenate and CoA Biosynthesis;Coenzyme A biosynthesis;Metabolism;Vitamin B5 (pantothenate) metabolism;Metabolism of water-soluble vitamins and cofactors;Metabolism of vitamins and cofactors;coenzyme A biosynthesis	Pantothenate and CoA biosynthesis	FUNCTION: Bifunctional enzyme that catalyzes the fourth and fifth sequential steps of CoA biosynthetic pathway. The fourth reaction is catalyzed by the phosphopantetheine adenylyltransferase, coded by the coaD domain; the fifth reaction is catalyzed by the dephospho-CoA kinase, coded by the coaE domain. May act as a point of CoA biosynthesis regulation. {ECO:0000269|PubMed:11923312}.; 	615643;	.	coenzyme biosynthetic process;coenzyme A biosynthetic process;phosphorylation	nucleoplasm;mitochondrial outer membrane;mitochondrial matrix;cytosol;extracellular exosome	dephospho-CoA kinase activity;pantetheine-phosphate adenylyltransferase activity;protein binding;ATP binding	ENSG00000068120
Chemokine signaling pathway - Homo sapiens (human);Cytokine-cytokine receptor interaction - Homo sapiens (human);Intestinal immune network for IgA production - Homo sapiens (human);Peptide GPCRs;Chemokine signaling pathway;GPCRs, Class A Rhodopsin-like;Signaling by GPCR;Signal Transduction;Chemokine receptors bind chemokines;Peptide ligand-binding receptors;Class A/1 (Rhodopsin-like receptors);GPCR ligand binding;G alpha (i) signalling events;GPCR downstream signalling	Cytokine-cytokine receptor interaction	FUNCTION: Receptor for chemokines SCYA27 and SCYA28. Subsequently transduces a signal by increasing the intracellular calcium ions level and stimulates chemotaxis in a pre-B cell line.; 	.	.	chemotaxis;immune response;G protein-coupled receptor signaling pathway;positive regulation of cytosolic calcium ion concentration;calcium-mediated signaling;cell chemotaxis;chemokine-mediated signaling pathway	endoplasmic reticulum;plasma membrane;integral component of plasma membrane;external side of plasma membrane;cell surface	G protein-coupled receptor activity;protein binding;C-C chemokine receptor activity;chemokine binding;C-C chemokine binding	ENSG00000184451
Cell adhesion molecules (CAMs) - Homo sapiens (human);Developmental Biology;Neurofascin interactions;L1CAM interactions;Axon guidance	Cell adhesion molecules (CAMs)	FUNCTION: Required, with CNTNAP2, for radial and longitudinal organization of myelinated axons. Plays a role in the formation of functional distinct domains critical for saltatory conduction of nerve impulses in myelinated nerve fibers. Demarcates the paranodal region of the axo-glial junction. In association with contactin involved in the signaling between axons and myelinating glial cells. {ECO:0000269|PubMed:24319099, ECO:0000269|PubMed:27818385, ECO:0000269|PubMed:28374019}.; 	616286;	Breast cancer[29059683];Major depressive disorder[27777418];	protein localization to paranode region of axon;cytoskeleton organization;cell adhesion;signal transduction;positive regulation of signal transduction;neuronal action potential propagation;central nervous system myelination;myelination in peripheral nervous system;paranodal junction assembly;neuron projection morphogenesis;neuromuscular process controlling posture;neuromuscular process controlling balance;protein localization to juxtaparanode region of axon	integral component of plasma membrane;voltage-gated potassium channel complex;integral component of membrane;paranodal junction;paranode region of axon;myelin sheath;presynaptic active zone membrane	SH3/SH2 adaptor activity;protein binding;SH3 domain binding;signaling receptor activity	ENSG00000108797
Endocytosis - Homo sapiens (human);Vesicle-mediated transport;Membrane Trafficking;Endosomal Sorting Complex Required For Transport (ESCRT)	.	FUNCTION: Component of the ESCRT-II complex (endosomal sorting complex required for transport II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs. The MVB pathway mediates delivery of transmembrane proteins into the lumen of the lysosome for degradation. The ESCRT-II complex is probably involved in the recruitment of the ESCRT-III complex. The ESCRT-II complex may also play a role in transcription regulation, possibly via its interaction with ELL. The ESCRT-II complex may be involved in facilitating the budding of certain RNA viruses. {ECO:0000269|PubMed:18723511}.; 	.	.	negative regulation of epidermal growth factor-activated receptor activity;endosomal transport;macroautophagy;multivesicular body assembly;protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	ESCRT II complex;nucleus;nucleoplasm;cytoplasm;cytosol;endosome membrane;extracellular exosome	structural molecule activity;protein binding;protein homodimerization activity;protein N-terminus binding	ENSG00000131475
Diuretics Pathway, Pharmacodynamics;Stimuli-sensing channels;Ion channel transport;Transport of small molecules	.	FUNCTION: Serine/threonine kinase which plays an important role in the regulation of electrolyte homeostasis, cell signaling, survival and proliferation. Acts as an activator and inhibitor of sodium-coupled chloride cotransporters and potassium-coupled chloride cotransporters respectively. Activates SCNN1A, SCNN1B, SCNN1D, SGK1, TRPV5 and TRPV6. Regulates the activity of the thiazide-sensitive Na-Cl cotransporter, SLC12A3, by phosphorylation which appears to prevent membrane trafficking of SLC12A3. Also inhibits the renal K(+) channel, KCNJ1, via a kinase-independent mechanism by which it induces clearance of the protein from the cell surface by clathrin-dependent endocytosis. WNK4 appears to act as a molecular switch that can vary the balance between NaCl reabsorption and K(+) secretion to maintain integrated homeostasis. Phosphorylates NEDD4L. Acts as a scaffold to inhibit SLC4A4 as well as CFTR activities and surface expression, recruits STK39 which mediates the inhibition (By similarity). {ECO:0000250|UniProtKB:Q80UE6, ECO:0000269|PubMed:20525693}.; 	614491;	.	protein phosphorylation;ion transport;chloride transport;protein localization;negative regulation of sodium ion transport;positive regulation of ion transmembrane transporter activity;intracellular signal transduction;regulation of cellular process;ion homeostasis;renal sodium ion absorption;distal tubule morphogenesis;negative regulation of pancreatic juice secretion;positive regulation of potassium ion import across plasma membrane;positive regulation of sodium ion transmembrane transporter activity	cytoplasm;cytosol;bicellular tight junction;membrane	protein serine/threonine kinase activity;protein binding;ATP binding;chloride channel inhibitor activity;potassium channel inhibitor activity	ENSG00000126562
beta-Alanine metabolism - Homo sapiens (human);Phenylalanine metabolism - Homo sapiens (human);Glycine, serine and threonine metabolism - Homo sapiens (human);Tyrosine metabolism - Homo sapiens (human);Phase I - Functionalization of compounds;Glycine Serine metabolism;Biological oxidations;Metabolism;Phenylalanine degradation;Arginine Proline metabolism;phenylethylamine degradation I;Tryptophan degradation;Tyrosine metabolism;Histidine degradation	Glycine, serine and threonine metabolism;Tyrosine metabolism;Phenylalanine metabolism;beta-Alanine metabolism;Alkaloid biosynthesis II	FUNCTION: Has a monoamine oxidase activity with substrate specificity for 2-phenylethylamine and tryptamine. May play a role in adipogenesis. May be a critical modulator of signal transmission in retina. {ECO:0000269|PubMed:17400359, ECO:0000269|PubMed:19588076}.; 	.	.	catecholamine metabolic process;xenobiotic metabolic process;visual perception;amine metabolic process;electron transport chain	cytoplasm;plasma membrane	copper ion binding;primary amine oxidase activity;electron transfer activity;quinone binding;tryptamine:oxygen oxidoreductase (deaminating) activity;aminoacetone:oxygen oxidoreductase(deaminating) activity;aliphatic-amine oxidase activity;phenethylamine:oxygen oxidoreductase (deaminating) activity	ENSG00000131480
beta-Alanine metabolism - Homo sapiens (human);Phenylalanine metabolism - Homo sapiens (human);Glycine, serine and threonine metabolism - Homo sapiens (human);Tyrosine metabolism - Homo sapiens (human);Carnosinuria, carnosinemia;Ureidopropionase deficiency;GABA-Transaminase Deficiency;Beta-Alanine Metabolism;Amino Acid metabolism;Phase I - Functionalization of compounds;Glycine Serine metabolism;Tyrosine metabolism;Biological oxidations;Metabolism;Phenylalanine degradation;Histidine metabolism;Tryptophan metabolism;Urea cycle and metabolism of arginine, proline, glutamate, aspartate and asparagine;Arginine Proline metabolism;phenylethylamine degradation I;Tryptophan degradation;Tyrosine metabolism;spermine and spermidine degradation I;Histidine degradation	Glycine, serine and threonine metabolism;Tyrosine metabolism;Phenylalanine metabolism;beta-Alanine metabolism;Alkaloid biosynthesis II	FUNCTION: Cell adhesion protein that participates in lymphocyte extravasation and recirculation by mediating the binding of lymphocytes to peripheral lymph node vascular endothelial cells in an L-selectin-independent fashion. Has semicarbazide-sensitive (SSAO) monoamine oxidase activity. May play a role in adipogenesis. {ECO:0000269|PubMed:17400359, ECO:0000269|PubMed:19588076, ECO:0000269|PubMed:23349812, ECO:0000269|PubMed:9653080}.; 	.	.	xenobiotic metabolic process;inflammatory response;cell adhesion;amine metabolic process;response to antibiotic;oxidation-reduction process;negative regulation of primary amine oxidase activity	cytoplasm;early endosome;endoplasmic reticulum;Golgi apparatus;plasma membrane;microvillus;cell surface;integral component of membrane	copper ion binding;calcium ion binding;protein binding;primary amine oxidase activity;protein homodimerization activity;protein heterodimerization activity;quinone binding;tryptamine:oxygen oxidoreductase (deaminating) activity;aminoacetone:oxygen oxidoreductase(deaminating) activity;aliphatic-amine oxidase activity;phenethylamine:oxygen oxidoreductase (deaminating) activity	ENSG00000131471
PI3K-Akt signaling pathway - Homo sapiens (human);Adipocytokine signaling pathway - Homo sapiens (human);Glycolysis / Gluconeogenesis - Homo sapiens (human);Insulin resistance - Homo sapiens (human);Starch and sucrose metabolism - Homo sapiens (human);Carbohydrate digestion and absorption - Homo sapiens (human);FoxO signaling pathway - Homo sapiens (human);AMPK signaling pathway - Homo sapiens (human);Glucagon signaling pathway - Homo sapiens (human);Galactose metabolism - Homo sapiens (human);Insulin signaling pathway - Homo sapiens (human);Glycolysis;Galactose Metabolism;Glycogenosis, Type VII. Tarui disease;Gluconeogenesis;Glycogenosis, Type IA. Von gierke disease;GLUT-1 deficiency syndrome;Glycogenosis, Type IC;Fanconi-bickel syndrome;Congenital disorder of glycosylation CDG-IId;Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease;Lactose Synthesis;Galactosemia;Triosephosphate isomerase;Fructose-1,6-diphosphatase deficiency;Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1);Glycogenosis, Type IB;Angiopoietin Like Protein 8 Regulatory Pathway;PI3K-Akt Signaling Pathway;Glycolysis and Gluconeogenesis;Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways;DNA Damage Response (only ATM dependent);Metabolism of carbohydrates;glycogenolysis;Glycolysis Gluconeogenesis;Glycolysis and Gluconeogenesis;Metabolism;gluconeogenesis;Gluconeogenesis;Glucose metabolism;FoxO family signaling;FOXA2 and FOXA3 transcription factor networks	Glycolysis / Gluconeogenesis;Galactose metabolism;Starch and sucrose metabolism;Insulin signaling pathway;Adipocytokine signaling pathway	FUNCTION: Hydrolyzes glucose-6-phosphate to glucose in the endoplasmic reticulum. Forms with the glucose-6-phosphate transporter (SLC37A4/G6PT) the complex responsible for glucose production through glycogenolysis and gluconeogenesis. Hence, it is the key enzyme in homeostatic regulation of blood glucose levels.; 	232200;	.	glycogen metabolic process;glycogen catabolic process;gluconeogenesis;triglyceride metabolic process;steroid metabolic process;regulation of gene expression;glucose-6-phosphate transport;response to food;multicellular organism growth;glucose homeostasis;cholesterol homeostasis;urate metabolic process;phosphorylated carbohydrate dephosphorylation;glucose 6-phosphate metabolic process	endoplasmic reticulum membrane;integral component of membrane;integral component of endoplasmic reticulum membrane	glucose-6-phosphatase activity;phosphotransferase activity, alcohol group as acceptor;phosphate ion binding	ENSG00000131482
The human immune response to tuberculosis;Cytokine Signaling in Immune system;Immune System;Interferon alpha/beta signaling;Interferon Signaling	.	FUNCTION: Not yet known.; 	.	Coronary artery disease[29212778];	type I interferon signaling pathway	nucleus;cytosol	protein binding	ENSG00000068079
Neutrophil degranulation;Innate Immune System;Immune System	.	FUNCTION: Possesses ATPase activity (By similarity). Plays a part in calcium-regulated keratinocyte activation in epidermal repair mechanisms. Has no effect on cell proliferation. Negatively regulates mitochondrial fusion in cooperation with mitofusin proteins (MFN1-2). {ECO:0000250, ECO:0000269|PubMed:12898150, ECO:0000269|PubMed:17105775, ECO:0000269|PubMed:19508442}.; 	.	Coronary artery disease[29212778];	negative regulation of mitochondrial fusion;neutrophil degranulation;oxidation-reduction process	extracellular region;mitochondrial outer membrane;integral component of membrane;azurophil granule lumen;extracellular exosome	zinc ion binding;oxidoreductase activity	ENSG00000108828
PI3K-Akt signaling pathway - Homo sapiens (human);Fanconi anemia pathway - Homo sapiens (human);Ubiquitin mediated proteolysis - Homo sapiens (human);Breast cancer - Homo sapiens (human);Homologous recombination - Homo sapiens (human);MicroRNAs in cancer - Homo sapiens (human);Androgen receptor signaling pathway;miRNA Regulation of DNA Damage Response;Signaling Pathways in Glioblastoma;Hepatitis C and Hepatocellular Carcinoma;Pathways Affected in Adenoid Cystic Carcinoma;TP53 Regulates Transcription of DNA Repair Genes;PI3K-Akt Signaling Pathway;DNA Damage Response;HDR through Single Strand Annealing (SSA);HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA);DNA Repair;Gene expression (Transcription);Nonhomologous End-Joining (NHEJ);DNA Double-Strand Break Repair;role of brca1 brca2 and atr in cancer susceptibility;brca1 dependent ub ligase activity;Transcriptional Regulation by E2F6;Generic Transcription Pathway;SUMOylation of DNA damage response and repair proteins;Homology Directed Repair;Post-translational protein modification;SUMO E3 ligases SUMOylate target proteins;Metabolism of proteins;Reproduction;RNA Polymerase II Transcription;G2/M DNA damage checkpoint;G2/M Checkpoints;Cell Cycle Checkpoints;ATF-2 transcription factor network;AndrogenReceptor;Aurora A signaling;SUMOylation;Metalloprotease DUBs;Meiotic synapsis;Meiosis;cell cycle: g2/m checkpoint;atm signaling pathway;TGF_beta_Receptor;TP53 Regulates Transcription of DNA Repair Genes;Fanconi anemia pathway;Coregulation of Androgen receptor activity;FOXA1 transcription factor network;Deubiquitination;Regulation of TP53 Activity through Phosphorylation;Regulation of TP53 Activity;Transcriptional Regulation by TP53;Cell Cycle;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks;DNA Double Strand Break Response;Validated nuclear estrogen receptor alpha network;Validated targets of C-MYC transcriptional repression;BARD1 signaling events;Processing of DNA double-strand break ends;ATM pathway;E2F transcription factor network;Presynaptic phase of homologous DNA pairing and strand exchange;Homologous DNA Pairing and Strand Exchange;Resolution of D-loop Structures through Holliday Junction Intermediates;Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA);Resolution of D-Loop Structures;HDR through Homologous Recombination (HRR)	Ubiquitin mediated proteolysis	FUNCTION: E3 ubiquitin-protein ligase that specifically mediates the formation of 'Lys-6'-linked polyubiquitin chains and plays a central role in DNA repair by facilitating cellular responses to DNA damage. It is unclear whether it also mediates the formation of other types of polyubiquitin chains. The E3 ubiquitin-protein ligase activity is required for its tumor suppressor function. The BRCA1-BARD1 heterodimer coordinates a diverse range of cellular pathways such as DNA damage repair, ubiquitination and transcriptional regulation to maintain genomic stability. Regulates centrosomal microtubule nucleation. Required for normal cell cycle progression from G2 to mitosis. Required for appropriate cell cycle arrests after ionizing irradiation in both the S-phase and the G2 phase of the cell cycle. Involved in transcriptional regulation of P21 in response to DNA damage. Required for FANCD2 targeting to sites of DNA damage. May function as a transcriptional regulator. Inhibits lipid synthesis by binding to inactive phosphorylated ACACA and preventing its dephosphorylation. Contributes to homologous recombination repair (HRR) via its direct interaction with PALB2, fine-tunes recombinational repair partly through its modulatory role in the PALB2-dependent loading of BRCA2-RAD51 repair machinery at DNA breaks. Component of the BRCA1-RBBP8 complex which regulates CHEK1 activation and controls cell cycle G2/M checkpoints on DNA damage via BRCA1-mediated ubiquitination of RBBP8. Acts as a transcriptional activator (PubMed:20160719). {ECO:0000269|PubMed:10500182, ECO:0000269|PubMed:10724175, ECO:0000269|PubMed:11836499, ECO:0000269|PubMed:12887909, ECO:0000269|PubMed:12890688, ECO:0000269|PubMed:14976165, ECO:0000269|PubMed:14990569, ECO:0000269|PubMed:16326698, ECO:0000269|PubMed:16818604, ECO:0000269|PubMed:17525340, ECO:0000269|PubMed:18056443, ECO:0000269|PubMed:19261748, ECO:0000269|PubMed:19369211, ECO:0000269|PubMed:20160719, ECO:0000269|PubMed:20351172, ECO:0000269|PubMed:20364141}.; 	114480;167000;604370;614320;617883;	Menopause (age at onset)[26414677;29773799];	double-strand break repair via homologous recombination;DNA double-strand break processing;DNA replication;postreplication repair;double-strand break repair;double-strand break repair via nonhomologous end joining;regulation of gene expression by genetic imprinting;regulation of transcription by RNA polymerase II;regulation of transcription by RNA polymerase III;fatty acid biosynthetic process;apoptotic process;cellular response to DNA damage stimulus;DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator;chromosome segregation;centrosome cycle;intrinsic apoptotic signaling pathway in response to DNA damage;dosage compensation by inactivation of X chromosome;response to ionizing radiation;positive regulation of vascular endothelial growth factor production;positive regulation of gene expression;protein ubiquitination;protein deubiquitination;androgen receptor signaling pathway;positive regulation of protein ubiquitination;negative regulation of intracellular estrogen receptor signaling pathway;positive regulation of histone acetylation;negative regulation of histone acetylation;regulation of cell population proliferation;regulation of apoptotic process;chordate embryonic development;response to estrogen;regulation of DNA methylation;mitotic G2/M transition checkpoint;negative regulation of fatty acid biosynthetic process;positive regulation of DNA repair;positive regulation of angiogenesis;negative regulation of transcription, DNA-templated;positive regulation of transcription, DNA-templated;positive regulation of transcription by RNA polymerase II;negative regulation of centriole replication;positive regulation of histone H3-K4 methylation;negative regulation of histone H3-K4 methylation;negative regulation of histone H3-K9 methylation;positive regulation of histone H3-K9 methylation;protein autoubiquitination;negative regulation of G0 to G1 transition;positive regulation of histone H4-K20 methylation;positive regulation of cell cycle arrest;cellular response to tumor necrosis factor;cellular response to indole-3-methanol;signal transduction involved in G2 DNA damage checkpoint;protein K6-linked ubiquitination;negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;negative regulation of reactive oxygen species metabolic process;positive regulation of histone H3-K9 acetylation;positive regulation of histone H4-K16 acetylation	ubiquitin ligase complex;lateral element;nucleus;nucleoplasm;chromosome;cytoplasm;plasma membrane;gamma-tubulin ring complex;BRCA1-BARD1 complex;protein-containing complex;BRCA1-A complex;ribonucleoprotein complex	DNA binding;damaged DNA binding;transcription coactivator activity;RNA binding;ubiquitin-protein transferase activity;protein binding;zinc ion binding;tubulin binding;enzyme binding;ubiquitin protein ligase binding;identical protein binding;transcription regulatory region DNA binding;androgen receptor binding;RNA polymerase binding	ENSG00000012048
Mitophagy - animal - Homo sapiens (human)	.	FUNCTION: Acts probably as a receptor for selective autophagosomal degradation of ubiquitinated targets. {ECO:0000269|PubMed:19250911}.; 	.	.	macroautophagy;regulation of bone mineralization;regulation of stress-activated MAPK cascade;negative regulation of osteoblast differentiation;protein complex oligomerization	phagophore assembly site;nucleoplasm;mitochondrion;lysosome;late endosome;autophagosome;cytosol;membrane;nuclear body;M band;intracellular membrane-bounded organelle	protein binding;zinc ion binding;ubiquitin binding;mitogen-activated protein kinase binding	ENSG00000188554
TYROBP Causal Network	.	.	.	Blood protein levels[30072576];	biological_process	integral component of membrane	molecular_function	ENSG00000184988
Transcriptional misregulation in cancer - Homo sapiens (human);Androgen Receptor Network in Prostate Cancer;Signal Transduction;MAPK6/MAPK4 signaling;MAPK family signaling cascades;LKB1 signaling events	.	FUNCTION: Transcriptional activator that binds to the enhancer of the adenovirus E1A gene; the core-binding sequence is 5'[AC]GGA[AT]GT-3'. {ECO:0000269|PubMed:19307308}.; 	.	.	regulation of transcription by RNA polymerase II;cell differentiation;positive regulation of transcription by RNA polymerase II	nucleus;nucleoplasm;nucleolus	RNA polymerase II proximal promoter sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;DNA-binding transcription activator activity, RNA polymerase II-specific;protein binding	ENSG00000175832
Wnt signaling pathway - Homo sapiens (human);Role of Osx and miRNAs in tooth development;Wnt Signaling Pathway;Signaling by WNT;Signal Transduction;Negative regulation of TCF-dependent signaling by WNT ligand antagonists;TCF dependent signaling in response to WNT	.	FUNCTION: Negative regulator of bone growth that acts through inhibition of Wnt signaling and bone formation. {ECO:0000269|PubMed:15908424}.; 	122860;239100;269500;	Bone mineral density (hip)[19079262;26733130;26733130;26733130;26733130];Sum eosinophil basophil counts[27863252];Bone mineral density (spine)[26733130;26733130];Fractures[30158200];Heel bone mineral density[28869591;28869591;28869591;28869591;28869591;28869591];Bone mineral density[22504420];Triglycerides[25961943];Eosinophil counts[27863252];Femoral neck bone mineral density[29499414];HDL cholesterol[27036123;25961943];Lumbar spine bone mineral density[29499414];	ossification;response to mechanical stimulus;Wnt signaling pathway;negative regulation of ossification;negative regulation of BMP signaling pathway;negative regulation of protein complex assembly;positive regulation of transcription, DNA-templated;cellular response to parathyroid hormone stimulus;negative regulation of canonical Wnt signaling pathway	extracellular region;extracellular space;Golgi apparatus;protein-containing complex;collagen-containing extracellular matrix	protein binding;transcription factor binding;heparin binding	ENSG00000167941
Sympathetic Nerve Pathway (Neuroeffector Junction);SCFA and skeletal muscle substrate metabolism;Signaling by GPCR;Signal Transduction;GPCR signaling-G alpha q;GPCR signaling-cholera toxin;GPCR signaling-pertussis toxin;Peptide ligand-binding receptors;Class A/1 (Rhodopsin-like receptors);GPCR ligand binding;GPCR signaling-G alpha s Epac and ERK;GPCR signaling-G alpha s PKA and ERK;G alpha (i) signalling events;GPCR signaling-G alpha i;GPCR downstream signalling	.	FUNCTION: This gut peptide inhibits exocrine pancreatic secretion, has a vasoconstrictory action and inhibitis jejunal and colonic mobility.; 	.	Diverticular disease[30177863];Pulse pressure[28135244];Blood protein levels[30072576];Response to taxane treatment (placlitaxel)[23006423];	G protein-coupled receptor signaling pathway;neuropeptide signaling pathway;feeding behavior;cell population proliferation;regulation of signaling receptor activity	extracellular region;extracellular space	G protein-coupled receptor binding;hormone activity;neuropeptide hormone activity;protein binding	ENSG00000131096
PI3K-Akt signaling pathway - Homo sapiens (human);Adipocytokine signaling pathway - Homo sapiens (human);Glycolysis / Gluconeogenesis - Homo sapiens (human);Insulin resistance - Homo sapiens (human);Starch and sucrose metabolism - Homo sapiens (human);Carbohydrate digestion and absorption - Homo sapiens (human);FoxO signaling pathway - Homo sapiens (human);AMPK signaling pathway - Homo sapiens (human);Glucagon signaling pathway - Homo sapiens (human);Galactose metabolism - Homo sapiens (human);Insulin signaling pathway - Homo sapiens (human);PI3K-Akt Signaling Pathway;Metabolism of carbohydrates;glycogenolysis;Metabolism;gluconeogenesis;Gluconeogenesis;Glucose metabolism	.	FUNCTION: Hydrolyzes glucose-6-phosphate to glucose in the endoplasmic reticulum. May form with the glucose-6-phosphate transporter (SLC37A4/G6PT) a ubiquitously expressed complex responsible for glucose production through glycogenolysis and gluconeogenesis. Probably required for normal neutrophil function. {ECO:0000269|PubMed:12370122, ECO:0000269|PubMed:12965222, ECO:0000269|PubMed:13129915}.; 	612541;	Glycated hemoglobin levels[24244560];	gluconeogenesis;glucose-6-phosphate transport;dephosphorylation;glucose 6-phosphate metabolic process	endoplasmic reticulum;endoplasmic reticulum membrane;membrane;integral component of membrane	glucose-6-phosphatase activity	ENSG00000141349
Apelin signaling pathway - Homo sapiens (human);Viral carcinogenesis - Homo sapiens (human);Epstein-Barr virus infection - Homo sapiens (human);Alcoholism - Homo sapiens (human);Human papillomavirus infection - Homo sapiens (human);Cell Cycle;MicroRNAs in cardiomyocyte hypertrophy;Cell Differentiation - Index expanded;Cell Differentiation - Index;Neural Crest Differentiation;Cardiac Hypertrophic Response;Initiation of transcription and translation elongation at the HIV-1 LTR;VEGFA-VEGFR2 Signaling Pathway;Ethanol effects on histone modifications;Disease;Signal Transduction;regulation of pgc-1a;nfat and hypertrophy of the heart ;mets affect on macrophage differentiation;Signaling by NOTCH1;Signaling by NOTCH;TGF-beta super family signaling pathway canonical;control of skeletal myogenesis by hdac and calcium/calmodulin-dependent kinase (camk);Signaling events mediated by HDAC Class II;Regulation of PTEN gene transcription;PTEN Regulation;PIP3 activates AKT signaling;Constitutive Signaling by NOTCH1 PEST Domain Mutants;Signaling by NOTCH1 PEST Domain Mutants in Cancer;Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants;Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer;Signaling by NOTCH1 in Cancer;Intracellular signaling by second messengers;Diseases of signal transduction;NOTCH1 Intracellular Domain Regulates Transcription	.	FUNCTION: Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. Histone deacetylases act via the formation of large multiprotein complexes. Involved in muscle maturation by repressing transcription of myocyte enhancer MEF2C. During muscle differentiation, it shuttles into the cytoplasm, allowing the expression of myocyte enhancer factors. Involved in the MTA1-mediated epigenetic regulation of ESR1 expression in breast cancer. {ECO:0000269|PubMed:24413532}.; 	.	Bone mineral density (hip)[19801982];Bone mineral density (spine)[19801982];Heel bone mineral density[28869591;28869591;28869591];	negative regulation of transcription by RNA polymerase II;chromatin organization;chromatin remodeling;chromatin silencing;protein deacetylation;inflammatory response;regulation of myotube differentiation;negative regulation of myotube differentiation;response to activity;histone deacetylation;neuron differentiation;B cell differentiation;cellular response to insulin stimulus;regulation of gene expression, epigenetic;B cell activation;response to cocaine;regulation of protein binding;negative regulation of transcription, DNA-templated;positive regulation of transcription by RNA polymerase II;positive regulation of DNA-binding transcription factor activity;histone H3 deacetylation;cellular response to lipopolysaccharide;negative regulation of cell migration involved in sprouting angiogenesis;regulation of histone H3-K9 acetylation	histone deacetylase complex;nucleus;nucleoplasm;cytoplasm;Golgi apparatus;cytosol;nuclear speck	RNA polymerase II proximal promoter sequence-specific DNA binding;RNA polymerase II transcription factor binding;chromatin binding;histone deacetylase activity;protein kinase C binding;protein binding;transcription factor binding;NAD-dependent histone deacetylase activity (H3-K14 specific);protein deacetylase activity;histone deacetylase binding;transcription regulatory region DNA binding;metal ion binding;repressing transcription factor binding	ENSG00000108840
Integrated Breast Cancer Pathway;Neutrophil degranulation;Innate Immune System;Immune System	.	FUNCTION: Granulins have possible cytokine-like activity. They may play a role in inflammation, wound repair, and tissue remodeling.; 	607485;614706;	Progranulin levels[29186428];Intracranial volume[22504418];Subcortical brain region volumes[25607358];Blood protein levels[29875488;29875488;30072576];	signal transduction;regulation of signaling receptor activity;neutrophil degranulation	extracellular region;lysosome;endosome;endoplasmic reticulum;azurophil granule lumen;extracellular exosome	RNA binding;cytokine activity;protein binding;growth factor activity	ENSG00000030582
